Site,Date,Location,Water Temperature_C,Air Temperature_C,pH_ph,Conductivity_uS/cm2,Dissolved Oxygen_mg/L,Chlorophyll-a_ug/L,Total Microcystins_ug/L,Dissolved Microcystins_ug/L,Nitrate+Nitrite_umol/L,Ammonium_umol/L,Nitrite_umol/L,Soluble Reactive Phosphorus_umol/L,Silicate_umol/L,Nitrate_umol/L,Total Phosphorus_umol/L,Total Kjehldahl Nitrogen_umol/L,Total Nitrogen_umol/L,TN:TP_ratio,Fluoroprobe Green Algae_ug/L,Fluoroprobe Bluegreen Algae_ug/L,Fluoroprobe Diatoms_ug/L,Fluoroprobe Cryptophyta_ug/L,Fluoroprobe Total Chlorophyll_ug/L
Bridge,2018-06-05,Inner Bay,21.71,18.9,9.37,414,10.54,NA,NA,NA,1.427888082,0,0,0.096856171,43.21428571,1.427888082,5.543401541,NA,135.7207622,24.48329987,NA,NA,NA,NA,NA
ODNR 2,2018-06-05,Outer Bay,21.48,18.3,9.4,413,11.33,NA,NA,NA,0,0.285577616,0,0.03228539,38.92857143,0,5.566001314,NA,135.2923958,24.30692846,NA,NA,NA,NA,NA
Buoy 2,2018-06-05,Outer Bay,20.68,17.8,9.18,360,10.69,NA,NA,NA,2.855776164,0.571155233,0,0.064570781,42.85714286,2.855776164,3.706362824,NA,101.6656314,27.43002676,NA,NA,NA,NA,NA
ODNR 1,2018-06-05,Outer Bay,20.42,17.8,9.24,342,10.8,NA,NA,NA,1.427888082,0.356972021,0,0.129141562,46.07142857,1.427888082,2.886313907,NA,92.1701757,31.93352445,NA,NA,NA,NA,NA
EC 1163,2018-06-05,Outer Bay,19.18,17.8,8.65,274,10.12,NA,NA,NA,38.55297822,1.21370487,0,0,47.14285714,38.55297822,1.32047247,NA,30.62819936,23.19487916,NA,NA,NA,NA,NA
Muddy Creek,2018-06-19,Inner Bay,26.33,21.1,8.42,385,7.68,NA,0,NA,676.1050069,5.925735541,15.7067689,1.194559447,191.4285714,660.398238,6.889702323,NA,131.9368588,19.14986346,NA,NA,NA,NA,NA
ODNR 4,2018-06-19,Inner Bay,25.76,21.7,8.23,388,7.53,NA,0,NA,618.9894836,13.42214797,14.99282486,0.71027859,118.2142857,603.9966587,4.917064966,NA,109.0192551,22.17161169,NA,NA,NA,NA,NA
ODNR 6,2018-06-19,Inner Bay,26.8,21.7,9.03,419,9.69,NA,8.13,NA,326.9863708,0.785338445,9.281272534,0.161426952,102.5,317.7050983,4.784694865,NA,153.2123912,32.02135048,NA,NA,NA,NA,NA
Bridge,2018-06-19,Inner Bay,26.64,21.7,8.94,415,8.91,NA,10.1,NA,4.283664246,0.214183212,0,0.129141562,99.64285714,4.283664246,5.724199727,NA,167.8482441,29.32256945,NA,NA,NA,NA,NA
ODNR 2,2018-06-19,Outer Bay,25.29,22.2,9.09,413,8.98,NA,9.38,NA,0,0.142788808,0,0.129141562,86.42857143,0,6.108395874,NA,148.5717549,24.32254851,NA,NA,NA,NA,NA
Buoy 2,2018-06-19,Outer Bay,24.69,21.7,8.95,384,8.78,NA,12.9,NA,0.713944041,0.214183212,0,0.129141562,88.57142857,0.713944041,4.138987056,NA,67.18213426,16.23154007,NA,NA,NA,NA,NA
ODNR 1,2018-06-19,Outer Bay,24.44,21.7,8.73,380,7.93,NA,8.46,NA,0.713944041,0.142788808,0,0.096856171,82.85714286,0.713944041,3.777390683,NA,110.5185376,29.25790495,NA,NA,NA,NA,NA
EC 1163,2018-06-19,Outer Bay,24.29,21.7,8.8,361,8.14,NA,6.83,NA,3.569720205,0.285577616,0,0.096856171,42.85714286,3.569720205,3.380280381,NA,107.3057894,31.74464165,NA,NA,NA,NA,NA
Bells,2018-06-19,Lake Erie,22.24,21.1,8.38,271,9.17,NA,0,NA,35.69720205,3.355536993,0.713944041,0.064570781,41.78571429,34.98325801,0.881391159,NA,28.41497283,32.23877677,NA,NA,NA,NA,NA
Muddy Creek,2018-06-26,Inner Bay,21.94,22.8,8.62,486,9.56,102.02,0,NA,568.2994567,1.427888082,12.1370487,1.000847104,188.2142857,556.162408,6.779931995,NA,140.0758209,20.6603578,NA,NA,NA,NA,NA
ODNR 4,2018-06-26,Inner Bay,22.14,22.8,9,412,10.61,59.11666667,7.44,NA,409.0899355,1.57067689,9.281272534,0.581137028,133.2142857,399.808663,6.059967788,NA,154.9258569,25.56545882,NA,NA,NA,NA,NA
ODNR 6,2018-06-26,Inner Bay,22.32,22.8,9.57,415,13.24,205.7033333,13.8,NA,171.3465699,0.785338445,7.139440411,0.064570781,104.2857143,164.2071294,5.178576629,NA,136.7916783,26.41491824,NA,NA,NA,NA,NA
Bridge,2018-06-26,Inner Bay,22.5,22.8,9.36,409,11.45,198.2733333,15.8,NA,207.0437719,0.499760829,9.995216575,0.096856171,94.28571429,197.0485553,5.41103144,NA,136.5774951,25.24056579,NA,NA,NA,NA,NA
ODNR 2,2018-06-26,Outer Bay,22.94,22.8,9.47,365,11.55,123.1333333,18,NA,0,0.499760829,0,0.129141562,99.64285714,0,4.339156477,NA,87.38675063,20.13911024,NA,NA,NA,NA,NA
Buoy 2,2018-06-26,Outer Bay,22.95,22.8,9.53,386,12.61,NA,14.1,NA,0,0.214183212,0,0.129141562,117.8571429,0,5.114005848,NA,138.1481719,27.01369065,NA,NA,NA,NA,NA
ODNR 1,2018-06-26,Outer Bay,22.36,22.8,9.44,399,12.93,240.5766667,24.6,NA,5.711552329,0.285577616,0.713944041,0.096856171,111.0714286,4.997608287,5.637029173,NA,173.6311908,30.80189679,NA,NA,NA,NA,NA
EC 1163,2018-06-26,Outer Bay,23.33,22.8,9.34,341,13.05,140.7733333,10.2,NA,0.713944041,0.356972021,0,0.064570781,86.42857143,0.713944041,3.490050708,NA,109.3762271,31.3394378,NA,NA,NA,NA,NA
Bells,2018-06-26,Lake Erie,22.93,22.8,8.76,279,10.38,26.91333333,0.89,NA,29.27170568,1.427888082,0.713944041,1.000847104,188.2142857,28.55776164,1.549698742,NA,42.97943127,27.73405573,NA,NA,NA,NA,NA
Muddy Creek,2018-07-10,Inner Bay,26.7,27.2,8.87,505,12.74,83.33333333,4.17,NA,85.67328493,2.498804144,0,0.161426952,49.28571429,85.67328493,5.772627813,NA,144.2166963,24.98285027,NA,NA,NA,NA,NA
ODNR 4,2018-07-10,Inner Bay,25.6,27.2,9.62,376,12.32,248.8066667,14.9,NA,0,1.999043315,0,0.161426952,178.9285714,0,8.290888269,NA,193.4074407,23.32771043,NA,NA,NA,NA,NA
ODNR 6,2018-07-10,Inner Bay,26.2,27.2,9.69,363,12.88,180.2033333,20.4,NA,0,2.284620931,0,0.064570781,166.4285714,0,6.185880811,NA,182.8410689,29.55780664,NA,NA,NA,NA,NA
Bridge,2018-07-10,Inner Bay,26.52,27.2,9.58,359,11.65,130.8266667,14.9,NA,2.141832123,3.141353781,0,0.129141562,151.7857143,2.141832123,6.566848418,NA,197.7624994,30.11528313,NA,NA,NA,NA,NA
ODNR 2,2018-07-10,Outer Bay,26.01,28.3,9.41,365,10.88,91.56333333,11.7,NA,0,1.427888082,0,0.096856171,157.5,0,4.739495319,NA,120.5137541,25.42754999,NA,NA,NA,NA,NA
Buoy 2,2018-07-10,Outer Bay,26.63,28.3,9.48,367,11.84,NA,9.76,NA,0,2.855776164,0,0.161426952,152.8571429,0,4.833122951,NA,118.6574996,24.55089614,NA,NA,NA,NA,NA
ODNR 1,2018-07-10,Outer Bay,26.25,28.3,9.56,357,12.44,86.1,10.7,NA,0,1.070916062,0,0.096856171,144.2857143,0,4.888008115,NA,116.5870619,23.85165065,NA,NA,NA,NA,NA
EC 1163,2018-07-10,Outer Bay,26.75,28.3,9.59,354,13.19,75.68,6.68,NA,0,1.784860103,0,0.161426952,137.5,0,4.487669273,NA,117.7293724,26.23396806,NA,NA,NA,NA,NA
Bells,2018-07-10,Lake Erie,26.15,26.7,9.34,279,11.78,38.74333333,3.56,NA,0.713944041,3.069959377,0,0.129141562,15.35714286,0.713944041,1.230073376,NA,43.83616412,35.63703188,NA,NA,NA,NA,NA
Muddy Creek,2018-07-24,Inner Bay,23.76,22.2,8.53,480,6.75,NA,5.76,NA,0.713944041,4.426453055,0,2.87339975,153.9285714,0.713944041,10.65417885,NA,141.860681,13.31502718,NA,NA,NA,NA,NA
ODNR 4,2018-07-24,Inner Bay,24.22,23.9,9.65,369,11,178.03,5.65,NA,0,0.356972021,0,3.906532245,233.2142857,0,12.31041938,NA,166.4917504,13.52445804,NA,NA,NA,NA,NA
ODNR 6,2018-07-24,Inner Bay,23.61,25,9.92,365,9,170.9133333,21.5,NA,0,-0.642549637,0,3.58367834,233.9285714,0,12.42664679,NA,188.8381989,15.1962313,NA,NA,NA,NA,NA
Bridge,2018-07-24,Inner Bay,24.22,23.9,9.35,382,8.68,163.1633333,12.5,NA,0,-0.071394404,0,1.549698742,211.7857143,0,7.877635271,NA,138.862116,17.62738578,NA,NA,NA,NA,NA
ODNR 2,2018-07-24,Outer Bay,24.21,23.9,9.47,387,11.27,104.7833333,5.64,NA,3.569720205,-0.285577616,0.713944041,0.6779932,177.8571429,2.855776164,5.120462926,NA,76.74898441,14.98868081,NA,NA,NA,NA,NA
Buoy 2,2018-07-24,Outer Bay,24.58,25,9.35,339,12.2,NA,2.66,NA,0,-0.356972021,0,0.193712343,122.5,0,3.793533378,NA,75.46388514,19.89276951,NA,NA,NA,NA,NA
ODNR 1,2018-07-24,Outer Bay,24.37,25,9.56,308,13.17,62.32333333,2.69,NA,0,0.142788808,0,0.129141562,93.92857143,0,3.264052975,NA,102.0939979,31.27829072,NA,NA,NA,NA,NA
EC 1163,2018-07-24,Outer Bay,24.95,26.1,9.51,305,12,93.99,2.4,NA,0,-0.356972021,0,0.193712343,103.5714286,0,3.480365091,NA,70.32348805,20.20577905,NA,NA,NA,NA,NA
Bells,2018-07-24,Lake Erie,24.93,26.1,9.36,267,11.26,51.81333333,0.72,NA,4.283664246,-0.642549637,0,0.161426952,37.85714286,4.283664246,1.359214938,NA,37.05369573,27.26110102,NA,NA,NA,NA,NA
