site,date_time,discharge,note
4198000,1/4/2019 23:45,3440,cubic feet per second
4198000,1/5/2019 0:00,3420,cubic feet per second
4198000,1/5/2019 0:15,3400,cubic feet per second
4198000,1/5/2019 0:30,3360,cubic feet per second
4198000,1/5/2019 0:45,3340,cubic feet per second
4198000,1/5/2019 1:00,3300,cubic feet per second
4198000,1/5/2019 1:15,3300,cubic feet per second
4198000,1/5/2019 1:30,3260,cubic feet per second
4198000,1/5/2019 1:45,3250,cubic feet per second
4198000,1/5/2019 2:00,3230,cubic feet per second
4198000,1/5/2019 2:15,3210,cubic feet per second
4198000,1/5/2019 2:30,3170,cubic feet per second
4198000,1/5/2019 2:45,3150,cubic feet per second
4198000,1/5/2019 3:00,3130,cubic feet per second
4198000,1/5/2019 3:15,3090,cubic feet per second
4198000,1/5/2019 3:30,3080,cubic feet per second
4198000,1/5/2019 3:45,3060,cubic feet per second
4198000,1/5/2019 4:00,3040,cubic feet per second
4198000,1/5/2019 4:15,3000,cubic feet per second
4198000,1/5/2019 4:30,2980,cubic feet per second
4198000,1/5/2019 4:45,2960,cubic feet per second
4198000,1/5/2019 5:00,2930,cubic feet per second
4198000,1/5/2019 5:15,2910,cubic feet per second
4198000,1/5/2019 5:30,2890,cubic feet per second
4198000,1/5/2019 5:45,2870,cubic feet per second
4198000,1/5/2019 6:00,2860,cubic feet per second
4198000,1/5/2019 6:15,2840,cubic feet per second
4198000,1/5/2019 6:30,2800,cubic feet per second
4198000,1/5/2019 6:45,2780,cubic feet per second
4198000,1/5/2019 7:00,2770,cubic feet per second
4198000,1/5/2019 7:15,2730,cubic feet per second
4198000,1/5/2019 7:30,2710,cubic feet per second
4198000,1/5/2019 7:45,2700,cubic feet per second
4198000,1/5/2019 8:00,2680,cubic feet per second
4198000,1/5/2019 8:15,2660,cubic feet per second
4198000,1/5/2019 8:30,2640,cubic feet per second
4198000,1/5/2019 8:45,2610,cubic feet per second
4198000,1/5/2019 9:00,2590,cubic feet per second
4198000,1/5/2019 9:15,2580,cubic feet per second
4198000,1/5/2019 9:30,2560,cubic feet per second
4198000,1/5/2019 9:45,2520,cubic feet per second
4198000,1/5/2019 10:00,2510,cubic feet per second
4198000,1/5/2019 10:15,2490,cubic feet per second
4198000,1/5/2019 10:30,2470,cubic feet per second
4198000,1/5/2019 10:45,2460,cubic feet per second
4198000,1/5/2019 11:00,2420,cubic feet per second
4198000,1/5/2019 11:15,2410,cubic feet per second
4198000,1/5/2019 11:30,2390,cubic feet per second
4198000,1/5/2019 11:45,2380,cubic feet per second
4198000,1/5/2019 12:00,2360,cubic feet per second
4198000,1/5/2019 12:15,2340,cubic feet per second
4198000,1/5/2019 12:30,2330,cubic feet per second
4198000,1/5/2019 12:45,2310,cubic feet per second
4198000,1/5/2019 13:00,2290,cubic feet per second
4198000,1/5/2019 13:15,2280,cubic feet per second
4198000,1/5/2019 13:30,2250,cubic feet per second
4198000,1/5/2019 13:45,2230,cubic feet per second
4198000,1/5/2019 14:00,2230,cubic feet per second
4198000,1/5/2019 14:15,2210,cubic feet per second
4198000,1/5/2019 14:30,2200,cubic feet per second
4198000,1/5/2019 14:45,2180,cubic feet per second
4198000,1/5/2019 15:00,2170,cubic feet per second
4198000,1/5/2019 15:15,2150,cubic feet per second
4198000,1/5/2019 15:30,2140,cubic feet per second
4198000,1/5/2019 15:45,2120,cubic feet per second
4198000,1/5/2019 16:00,2110,cubic feet per second
4198000,1/5/2019 16:15,2110,cubic feet per second
4198000,1/5/2019 16:30,2090,cubic feet per second
4198000,1/5/2019 16:45,2070,cubic feet per second
4198000,1/5/2019 17:00,2050,cubic feet per second
4198000,1/5/2019 17:15,2040,cubic feet per second
4198000,1/5/2019 17:30,2040,cubic feet per second
4198000,1/5/2019 17:45,2020,cubic feet per second
4198000,1/5/2019 18:00,2000,cubic feet per second
4198000,1/5/2019 18:15,1980,cubic feet per second
4198000,1/5/2019 18:30,1970,cubic feet per second
4198000,1/5/2019 18:45,1950,cubic feet per second
4198000,1/5/2019 19:00,1950,cubic feet per second
4198000,1/5/2019 19:15,1930,cubic feet per second
